[2026-04-04 15:44:37.741407] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-04 15:44:40.423730] reason=SESSION_LOADED; detail=pid=52736; last_action=MODULE_IMPORT
[2026-04-04 15:44:41.005338] reason=APP_START; detail=pid=52736; last_action=GUI_INIT
[2026-04-04 15:44:42.044231] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-04 15:44:42.045230] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-04 15:44:42.065481] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-04 15:44:51.718639] reason=SESSION_LOADED; detail=pid=149500; last_action=MODULE_IMPORT
[2026-04-04 15:44:52.955266] reason=APP_START; detail=pid=149500; last_action=GUI_INIT
[2026-04-04 17:48:07.456929] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-04 17:48:07.457928] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-04 17:48:10.986702] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-04 17:48:10.987702] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-04 17:48:11.016796] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-04 17:48:19.867350] reason=SESSION_LOADED; detail=pid=68128; last_action=MODULE_IMPORT
[2026-04-04 17:48:21.517628] reason=APP_START; detail=pid=68128; last_action=GUI_INIT
[2026-04-04 18:10:06.210972] reason=MAINWINDOW_CLOSE_EVENT; detail=; last_action=CLOSE_EVENT
[2026-04-04 18:10:06.211971] reason=STOP_ALL_THREADS_CALLED; detail=; last_action=CLOSE_EVENT
[2026-04-04 18:10:06.239598] reason=APP_ABOUT_TO_QUIT; detail=; last_action=CLOSE_EVENT
[2026-04-04 18:10:12.850914] reason=SESSION_LOADED; detail=pid=127348; last_action=MODULE_IMPORT
[2026-04-04 18:10:14.923242] reason=APP_START; detail=pid=127348; last_action=GUI_INIT
